Results for model EVA02-E-14-plus - laion2b_s9b_b144k:
Top-4 Precision: 0.1643155694879833 	 Recall: 0.6572622779519331 	 Accuracy: 0.6572622779519331
Top-5 Precision: 0.1400208986415893 	 Recall: 0.7001044932079414 	 Accuracy: 0.7001044932079414
Top-6 Precision: 0.12312783002438296 	 Recall: 0.7387669801462905 	 Accuracy: 0.7387669801462905
Top-7 Precision: 0.1103149723839373 	 Recall: 0.7722048066875653 	 Accuracy: 0.7722048066875653
Top-8 Precision: 0.09966039707419018 	 Recall: 0.7972831765935214 	 Accuracy: 0.7972831765935214
Top-9 Precision: 0.09102519447347186 	 Recall: 0.819226750261233 	 Accuracy: 0.819226750261233
Top-10 Precision: 0.0843260188087771 	 Recall: 0.8432601880877743 	 Accuracy: 0.8432601880877743
Top-11 Precision: 0.07893986890852212 	 Recall: 0.8683385579937304 	 Accuracy: 0.8683385579937304
Top-12 Precision: 0.07401602229188471 	 Recall: 0.8881922675026124 	 Accuracy: 0.8881922675026124
Top-13 Precision: 0.06928703480427761 	 Recall: 0.9007314524555904 	 Accuracy: 0.9007314524555904
Top-14 Precision: 0.0657560829974617 	 Recall: 0.9205851619644723 	 Accuracy: 0.9205851619644723
Top-15 Precision: 0.06185997910135973 	 Recall: 0.9278996865203761 	 Accuracy: 0.9278996865203761
Top-16 Precision: 0.05864681295715778 	 Recall: 0.9383490073145245 	 Accuracy: 0.9383490073145245
Top-17 Precision: 0.055627266580614586 	 Recall: 0.9456635318704284 	 Accuracy: 0.9456635318704284
Top-18 Precision: 0.05282712179264001 	 Recall: 0.9508881922675027 	 Accuracy: 0.9508881922675027
Top-19 Precision: 0.05021173623714547 	 Recall: 0.9540229885057471 	 Accuracy: 0.9540229885057471
Top-20 Precision: 0.047910135841169835 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-21 Precision: 0.04577797681246033 	 Recall: 0.9613375130616509 	 Accuracy: 0.9613375130616509
Top-22 Precision: 0.04383965042272323 	 Recall: 0.9644723092998955 	 Accuracy: 0.9644723092998955
Top-23 Precision: 0.04206987415383199 	 Recall: 0.96760710553814 	 Accuracy: 0.96760710553814
Top-24 Precision: 0.04031696273075582 	 Recall: 0.96760710553814 	 Accuracy: 0.96760710553814
Top-25 Precision: 0.03878787878787815 	 Recall: 0.9696969696969697 	 Accuracy: 0.9696969696969697
Top-26 Precision: 0.03729603729603812 	 Recall: 0.9696969696969697 	 Accuracy: 0.9696969696969697
Top-27 Precision: 0.03606950733387556 	 Recall: 0.9738766980146291 	 Accuracy: 0.9738766980146291
Top-28 Precision: 0.03485594864905174 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-29 Precision: 0.033762115807300624 	 Recall: 0.9791013584117032 	 Accuracy: 0.9791013584117032
Top-30 Precision: 0.032671543016371346 	 Recall: 0.9801462904911181 	 Accuracy: 0.9801462904911181
Top-31 Precision: 0.031685037246772296 	 Recall: 0.9822361546499477 	 Accuracy: 0.9822361546499477
Top-32 Precision: 0.03072753396029258 	 Recall: 0.9832810867293625 	 Accuracy: 0.9832810867293625
Top-33 Precision: 0.02982806117602416 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-34 Precision: 0.029012231851989086 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-35 Precision: 0.028213166144200535 	 Recall: 0.987460815047022 	 Accuracy: 0.987460815047022
Top-36 Precision: 0.027458492975734872 	 Recall: 0.9885057471264368 	 Accuracy: 0.9885057471264368
Top-37 Precision: 0.026801095766613214 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
Top-38 Precision: 0.02612330198537142 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-39 Precision: 0.025453473729335714 	 Recall: 0.9926854754440961 	 Accuracy: 0.9926854754440961
Top-40 Precision: 0.02484326018808748 	 Recall: 0.9937304075235109 	 Accuracy: 0.9937304075235109
Top-41 Precision: 0.024288299309324822 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-42 Precision: 0.02375976513907593 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-43 Precision: 0.02323151320745501 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-44 Precision: 0.02270352427092277 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-45 Precision: 0.022199001509346266 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-46 Precision: 0.02171641452001259 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-47 Precision: 0.021254363147246262 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-48 Precision: 0.020811563915012148 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-49 Precision: 0.02040816326530615 	 Recall: 1.0 	 Accuracy: 1.0
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model convnext_xxlarge - laion2b_s34b_b82k_augreg_rewind:
Top-1 Precision: 0.23406478578892373 	 Recall: 0.23406478578892373 	 Accuracy: 0.23406478578892373
Top-2 Precision: 0.2387669801462905 	 Recall: 0.477533960292581 	 Accuracy: 0.477533960292581
Top-3 Precision: 0.19644723092999056 	 Recall: 0.5893416927899686 	 Accuracy: 0.5893416927899686
Top-4 Precision: 0.16091954022988506 	 Recall: 0.6436781609195402 	 Accuracy: 0.6436781609195402
Top-5 Precision: 0.13584117032393017 	 Recall: 0.6792058516196448 	 Accuracy: 0.6792058516196448
Top-6 Precision: 0.11894810170672349 	 Recall: 0.7136886102403344 	 Accuracy: 0.7136886102403344
Top-7 Precision: 0.10792655620241773 	 Recall: 0.7554858934169278 	 Accuracy: 0.7554858934169278
Top-8 Precision: 0.0973092998955068 	 Recall: 0.7784743991640544 	 Accuracy: 0.7784743991640544
Top-9 Precision: 0.08905143387902156 	 Recall: 0.8014629049111808 	 Accuracy: 0.8014629049111808
Top-10 Precision: 0.08286311389759642 	 Recall: 0.8286311389759665 	 Accuracy: 0.8286311389759665
Top-11 Precision: 0.07751496152750184 	 Recall: 0.8526645768025078 	 Accuracy: 0.8526645768025078
Top-12 Precision: 0.07366771159874645 	 Recall: 0.8840125391849529 	 Accuracy: 0.8840125391849529
Top-13 Precision: 0.06912627602282917 	 Recall: 0.8986415882967607 	 Accuracy: 0.8986415882967607
Top-14 Precision: 0.06538289296909927 	 Recall: 0.9153605015673981 	 Accuracy: 0.9153605015673981
Top-15 Precision: 0.06158133054684909 	 Recall: 0.9237199582027168 	 Accuracy: 0.9237199582027168
Top-16 Precision: 0.05818965517241379 	 Recall: 0.9310344827586207 	 Accuracy: 0.9310344827586207
Top-17 Precision: 0.05482820087282672 	 Recall: 0.9320794148380356 	 Accuracy: 0.9320794148380356
Top-18 Precision: 0.05184024149541486 	 Recall: 0.9331243469174504 	 Accuracy: 0.9331243469174504
Top-19 Precision: 0.04944178628389241 	 Recall: 0.9393939393939394 	 Accuracy: 0.9393939393939394
Top-20 Precision: 0.047335423197491705 	 Recall: 0.9467084639498433 	 Accuracy: 0.9467084639498433
Top-21 Precision: 0.045131114096632056 	 Recall: 0.9477533960292581 	 Accuracy: 0.9477533960292581
Top-22 Precision: 0.043127196732213095 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-23 Precision: 0.04134296488119562 	 Recall: 0.9508881922675027 	 Accuracy: 0.9508881922675027
Top-24 Precision: 0.039881574364333 	 Recall: 0.9571577847439916 	 Accuracy: 0.9571577847439916
Top-25 Precision: 0.038495297805641995 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-26 Precision: 0.03717546820995179 	 Recall: 0.9665621734587252 	 Accuracy: 0.9665621734587252
Top-27 Precision: 0.03595340376949613 	 Recall: 0.9707419017763845 	 Accuracy: 0.9707419017763845
Top-28 Precision: 0.03485594864905174 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-29 Precision: 0.03365401938529219 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-30 Precision: 0.03260188087774369 	 Recall: 0.9780564263322884 	 Accuracy: 0.9780564263322884
Top-31 Precision: 0.03165132976033956 	 Recall: 0.9811912225705329 	 Accuracy: 0.9811912225705329
Top-32 Precision: 0.030760188087774296 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-33 Precision: 0.029891390392958395 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-34 Precision: 0.029012231851989086 	 Recall: 0.9864158829676071 	 Accuracy: 0.9864158829676071
Top-35 Precision: 0.02830273175100752 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-36 Precision: 0.027545570649019444 	 Recall: 0.9916405433646813 	 Accuracy: 0.9916405433646813
