Results for model ViT-L-14-quickgelu - dfn2b:
Top-20 Precision: 0.044148380355276635 	 Recall: 0.8829676071055381 	 Accuracy: 0.8829676071055381
Top-21 Precision: 0.04254366323331894 	 Recall: 0.8934169278996865 	 Accuracy: 0.8934169278996865
Top-22 Precision: 0.04089484183528133 	 Recall: 0.8996865203761756 	 Accuracy: 0.8996865203761756
Top-23 Precision: 0.03929853255190584 	 Recall: 0.9038662486938349 	 Accuracy: 0.9038662486938349
Top-24 Precision: 0.037878787878788005 	 Recall: 0.9090909090909091 	 Accuracy: 0.9090909090909091
Top-25 Precision: 0.036530825496342144 	 Recall: 0.9132706374085684 	 Accuracy: 0.9132706374085684
Top-26 Precision: 0.0353669319186568 	 Recall: 0.9195402298850575 	 Accuracy: 0.9195402298850575
Top-27 Precision: 0.0341731491156782 	 Recall: 0.922675026123302 	 Accuracy: 0.922675026123302
Top-28 Precision: 0.03317659352142079 	 Recall: 0.928944618599791 	 Accuracy: 0.928944618599791
Top-29 Precision: 0.03210463733650464 	 Recall: 0.9310344827586207 	 Accuracy: 0.9310344827586207
Top-30 Precision: 0.03110414489724901 	 Recall: 0.9331243469174504 	 Accuracy: 0.9331243469174504
Top-31 Precision: 0.030134492870866454 	 Recall: 0.9341692789968652 	 Accuracy: 0.9341692789968652
Top-32 Precision: 0.029258098223615466 	 Recall: 0.9362591431556949 	 Accuracy: 0.9362591431556949
Top-33 Precision: 0.02846648301193812 	 Recall: 0.9393939393939394 	 Accuracy: 0.9393939393939394
Top-34 Precision: 0.027721433400947154 	 Recall: 0.9425287356321839 	 Accuracy: 0.9425287356321839
Top-35 Precision: 0.02704881325570972 	 Recall: 0.9467084639498433 	 Accuracy: 0.9467084639498433
Top-36 Precision: 0.026355509114130288 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-37 Precision: 0.025671439464543075 	 Recall: 0.9498432601880877 	 Accuracy: 0.9498432601880877
Top-38 Precision: 0.025133366331188917 	 Recall: 0.955067920585162 	 Accuracy: 0.955067920585162
Top-39 Precision: 0.024596093561610723 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-40 Precision: 0.023981191222570288 	 Recall: 0.9592476489028213 	 Accuracy: 0.9592476489028213
Top-41 Precision: 0.02347274256441571 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-42 Precision: 0.022913867741454333 	 Recall: 0.9623824451410659 	 Accuracy: 0.9623824451410659
Top-43 Precision: 0.022429588588369263 	 Recall: 0.9644723092998955 	 Accuracy: 0.9644723092998955
Top-44 Precision: 0.021991070580412633 	 Recall: 0.96760710553814 	 Accuracy: 0.96760710553814
Top-45 Precision: 0.021618483687449137 	 Recall: 0.9728317659352143 	 Accuracy: 0.9728317659352143
Top-46 Precision: 0.021216664395075087 	 Recall: 0.9759665621734587 	 Accuracy: 0.9759665621734587
Top-47 Precision: 0.020898641588296536 	 Recall: 0.9822361546499477 	 Accuracy: 0.9822361546499477
Top-48 Precision: 0.020724486241727583 	 Recall: 0.9947753396029259 	 Accuracy: 0.9947753396029259
Top-49 Precision: 0.02034418783187259 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

Results for model ViT-B-16-quickgelu - metaclip_fullcc:
Top-1 Precision: 0.23197492163009403 	 Recall: 0.23197492163009403 	 Accuracy: 0.23197492163009403
Top-2 Precision: 0.20689655172413793 	 Recall: 0.41379310344827586 	 Accuracy: 0.41379310344827586
Top-3 Precision: 0.17345872518286348 	 Recall: 0.5203761755485894 	 Accuracy: 0.5203761755485894
Top-4 Precision: 0.14498432601880878 	 Recall: 0.5799373040752351 	 Accuracy: 0.5799373040752351
Top-5 Precision: 0.12392894461860099 	 Recall: 0.619644723092999 	 Accuracy: 0.619644723092999
Top-6 Precision: 0.10867293625914395 	 Recall: 0.6520376175548589 	 Accuracy: 0.6520376175548589
Top-7 Precision: 0.09777578743095959 	 Recall: 0.6844305120167189 	 Accuracy: 0.6844305120167189
Top-8 Precision: 0.08842737722048066 	 Recall: 0.7074190177638453 	 Accuracy: 0.7074190177638453
Top-9 Precision: 0.08115639150122034 	 Recall: 0.7304075235109718 	 Accuracy: 0.7304075235109718
Top-10 Precision: 0.07523510971786854 	 Recall: 0.7523510971786834 	 Accuracy: 0.7523510971786834
Top-11 Precision: 0.07058041227320318 	 Recall: 0.7763845350052246 	 Accuracy: 0.7763845350052246
