Results for model ViTamin-XL-384 - datacomp1b:
Top-33 Precision: 0.028308159969602537 	 Recall: 0.9341692789968652 	 Accuracy: 0.9341692789968652
Top-34 Precision: 0.027721433400947154 	 Recall: 0.9425287356321839 	 Accuracy: 0.9425287356321839
Top-35 Precision: 0.02710852366024771 	 Recall: 0.9487983281086729 	 Accuracy: 0.9487983281086729
Top-36 Precision: 0.026616742133984007 	 Recall: 0.9582027168234065 	 Accuracy: 0.9582027168234065
Top-37 Precision: 0.02615154339292288 	 Recall: 0.96760710553814 	 Accuracy: 0.96760710553814
Top-38 Precision: 0.02562833415828017 	 Recall: 0.9738766980146291 	 Accuracy: 0.9738766980146291
Top-39 Precision: 0.025078369905956032 	 Recall: 0.9780564263322884 	 Accuracy: 0.9780564263322884
Top-40 Precision: 0.024608150470219154 	 Recall: 0.9843260188087775 	 Accuracy: 0.9843260188087775
Top-41 Precision: 0.024160868567932776 	 Recall: 0.9905956112852664 	 Accuracy: 0.9905956112852664
Top-42 Precision: 0.0237100064686276 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-43 Precision: 0.023158610969356303 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-44 Precision: 0.022632278901871753 	 Recall: 0.9958202716823407 	 Accuracy: 0.9958202716823407
Top-45 Precision: 0.022152560083594494 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-46 Precision: 0.021670982690472816 	 Recall: 0.9968652037617555 	 Accuracy: 0.9968652037617555
Top-47 Precision: 0.021232130549811903 	 Recall: 0.9979101358411703 	 Accuracy: 0.9979101358411703
Top-48 Precision: 0.020811563915012148 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-49 Precision: 0.020386838120828296 	 Recall: 0.9989550679205852 	 Accuracy: 0.9989550679205852
Top-50 Precision: 0.019999999999999667 	 Recall: 1.0 	 Accuracy: 1.0

